committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00487470,CLUB FOR GROWTH ACTION,2016,48,201604299015366274,24,1070494,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,TV AD PRODUCTION COSTS (FROM ADVANCE LINE 21),2016-04-27 00:00:00,2016-04-27 00:00:00,991.62,521891.61,,,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN ALANA,,MCGINTY,,S,PA,00,C00487470,,,,,,,G2016,,"ROZANSKY, ADAM",2016-04-29 00:00:00,,,,,,ADAM,,ROZANSKY,SE.7339,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4042920161284502364,4042920161284509874,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604299015366274
C00487470,CLUB FOR GROWTH ACTION,2016,48,201604299015366274,24,1070494,CREATIVE RESPONSE CONCEPTS,,,,2760 EISENHOWER AVE.,4TH FLOOR,ALEXANDRIA,VA,22314,PRESS RELEASE DISTRIBUTION,2016-04-27 00:00:00,2016-04-27 00:00:00,115.00,520899.99,,,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN ALANA,,MCGINTY,,S,PA,00,C00487470,,,,,,,G2016,,"ROZANSKY, ADAM",2016-04-29 00:00:00,,,,,,ADAM,,ROZANSKY,SE.7337,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4042920161284502364,4042920161284509876,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604299015366274
C00487470,CLUB FOR GROWTH ACTION,2016,24,201601299004766080,24,1044806,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,PRESS RELEASE (FROM ADVANCE LINE 21),2016-01-15 00:00:00,2016-01-15 00:00:00,59.12,1830.41,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,P,IA,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-01-29 00:00:00,,,,,,ADAM,,ROZANSKY,SE.5346,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012920161261114658,4012920161261122058,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201601299004766080
C00487470,CLUB FOR GROWTH ACTION,2016,24,201602179008476351,24,1049938,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),2016-02-14 00:00:00,2016-02-14 00:00:00,50.96,1384172.96,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,P,SC,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-02-17 00:00:00,,,,,,ADAM,,ROZANSKY,SE.6003,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4021720161272446285,4021720161272447584,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201602179008476351
C00487470,CLUB FOR GROWTH ACTION,2016,48,201607159020601436,24,1086792,"BASK DIGITAL MEDIA, LLC",,,,1953 SAN ELIJO AVE.,STE. 2005,CARDIFF-BY-THE-SEA,CA,92007,"INTERNET ADVERTISING PLACEMENT, PRODUCTION COSTS",2016-06-30 00:00:00,2016-07-13 00:00:00,15000.00,16037.86,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-07-15 00:00:00,,,,,,ADAM,,ROZANSKY,SE.8013,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4071520161306645897,4071520161306654886,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607159020601436
C00487470,CLUB FOR GROWTH ACTION,2016,48,201607159020601437,24,1086792,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,INTERNET ADVERTISING PRODUCTION COSTS (FROM ADVANCE LINE 21),2016-07-13 00:00:00,2016-07-13 00:00:00,326.75,16364.61,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-07-15 00:00:00,,,,,,ADAM,,ROZANSKY,SE.8014,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4071520161306645897,4071520161306654890,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201607159020601437
C00487470,CLUB FOR GROWTH ACTION,2016,48,201604299015366273,24,1070494,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),2016-04-27 00:00:00,2016-04-27 00:00:00,42.97,520642.97,,,O,,,S6PA00266,"MCGINTY, KATHLEEN ALANA",,KATHLEEN ALANA,,MCGINTY,,S,PA,00,C00487470,,,,,,,G2016,,"ROZANSKY, ADAM",2016-04-29 00:00:00,,,,,,ADAM,,ROZANSKY,SE.7334,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4042920161284502364,4042920161284509870,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201604299015366273
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608189022528319,24,1095199,CLUB FOR GROWTH,,,,"2001 L ST., NW",SUITE 600,WASHINGTON,DC,20036,MAIL PRODUCTION COSTS (FROM ADVANCE LINE 21),2016-08-17 00:00:00,2016-08-17 00:00:00,160.96,20742.77,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-18 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9267,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081820161312907306,4081820161312912738,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608189022528319
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608189022528320,24,1095199,FACEBOOK,,,,1 HACKER DR.,,MENLO PARK,CA,94025,INTERNET ADS,2016-08-15 00:00:00,2016-08-15 00:00:00,354.51,20162.04,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-18 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9268,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081820161312907306,4081820161312912740,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608189022528320
C00487470,CLUB FOR GROWTH ACTION,2016,24,201608189022528321,24,1095199,LOUDON PRINTING AND GRAPHICS,,,,20559 MIDDLEBURY ST.,,ASHBURN,VA,20147,MAIL PRODUCTION COSTS,2016-08-15 00:00:00,2016-08-15 00:00:00,396.25,19807.53,,,S,,,S0FL00338,"RUBIO, MARCO",,MARCO,,RUBIO,,S,FL,00,C00487470,,,,,,,P2016,,"ROZANSKY, ADAM",2016-08-18 00:00:00,,,,,,ADAM,,ROZANSKY,SE.9266,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4081820161312907306,4081820161312912744,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201608189022528321
