CITIZEN SUPER PAC
CITIZENS FOR RESPONSIBLE ENERGY SOLUTIONS INC.
ARIZONA GRASSROOTS ACTION PAC
AMERICA ASCENDANT PAC
STANDING UP FOR CALIFORNIA'S MIDDLE CLASS
RESTORATION PAC
SENATE LEADERSHIP FUND
NATIONAL ASSOCIATION OF REALTORS CONGRESSIONAL FUND
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION -- POLITICAL ACTION FUND
TEA PARTY ARMY
INDEPENDENT VOICE FOR ILLINOIS PAC
SENATE LEADERSHIP FUND
CITIZENS FOR RESPONSIBLE ENERGY SOLUTIONS INC.
NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION
KENTUCKY MOVING FORWARD
ESAFUND
NATIONAL ASSOCIATION OF REALTORS CONGRESSIONAL FUND
SENATE LEADERSHIP FUND
SENATE LEADERSHIP FUND
GRANITE STATE SOLUTIONS
AMERICAN COLLEGE OF RADIOLOGY ASSOCIATION PAC
DSCC
NATIONAL RIGHT TO LIFE VICTORY FUND
"FREEDOM PARTNERS ACTION FUND, INC."
RESTORE AMERICAN FREEDOM AND LIBERTY
RIGHT TO LIFE/OREGON PAC
DSCC
VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY)
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE
SENATE CONSERVATIVES FUND
INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC
PLANNED PARENTHOOD VOTES NORTHWEST
SENATE MAJORITY PAC
NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND
AMERICAN UNITY PAC INC
ARIZONA GRASSROOTS ACTION PAC
AMERICA ASCENDANT PAC
CALIFORNIANS FOR FISCAL RESPONSIBILITY
SENATE CONSERVATIVES ACTION
NRSC
MOVEON.ORG POLITICAL ACTION
CLIMATE HAWKS VOTE POLITICAL ACTION
NATIONAL RIGHT TO LIFE VICTORY FUND
VOTEVETS.ORG ACTION FUND
DSCC
NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE
CONCERNED AMERICAN VOTERS
ESAFUND
COMMITTEE FOR MARYLAND'S PROGRESS
DSCC
DSCC
DSCC
AMERICA IS WORTH IT
SENATE LEADERSHIP FUND
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE
FIGHTING FOR OHIO FUND
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE
NATIONAL RIGHT TO LIFE VICTORY FUND
SENATE LEADERSHIP FUND
VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY)
FREEDOMWORKS FOR AMERICA
SIERRA CLUB POLITICAL COMMITTEE
SIERRA CLUB POLITICAL COMMITTEE
REFORM AMERICA FUND
NATIONAL ASSOCIATION OF REALTORS CONGRESSIONAL FUND
FAITH FAMILY FREEDOM FUND
US CHAMBER OF COMMERCE
NATIONAL RIGHT TO LIFE VICTORY FUND
CALIFORNIANS FOR OPPORTUNITY
IMMIGRANT VOTERS WIN PAC
FLORIDA FIRST PROJECT
NATIONAL RIGHT TO LIFE VICTORY FUND
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE
US CHAMBER OF COMMERCE
SENATE MAJORITY PAC
PRIORITIES FOR IOWA POLITICAL FUND
NATIONAL RIGHT TO LIFE VICTORY FUND
AMERICA'S LIBERTY PAC
LOUISIANA PROSPERITY FUND
MOVE MARYLAND FORWARD
NRSC
SENATE MAJORITY PAC
SENATE MAJORITY PAC
NEW YORK STATE CONSERVATIVE PARTY
SENATE MAJORITY PAC
SENATE MAJORITY PAC
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE
SENATE MAJORITY PAC
CONSERVATIVE LIBERTY COALITION
WOMEN SPEAK OUT PAC
SENATE LEADERSHIP FUND
